priority,name,category,zone,address,postcode,phone,email,website,instagram,contact_name,best_channel,channel_reason,outreach_status,approved_to_send,notes
1,Michael's Meat Market,Butcher shop,Brixton,49 Atlantic Rd,SW9 8JL,,,,,,walk_in,Default: walk-in for market traders until enriched,NOT_SENT — awaiting Anna approval,no,pending_full_enrichment
2,Ilias Fish Shop,Fishmonger,Brixton,"Unit 16, Granville Arcade, Brixton Village",SW9 8PR,,,,,,walk_in,Default: walk-in for market traders until enriched,NOT_SENT — awaiting Anna approval,no,pending_full_enrichment
3,Carniceria Los Andes,Butcher shop,Brixton,"Unit 13, Granville Arcade, Brixton Village",SW9 8PR,,,,,,walk_in,Default: walk-in for market traders until enriched,NOT_SENT — awaiting Anna approval,no,pending_full_enrichment
4,Harry Otto & Sons,Fishmonger,Brixton,"Units 22 & 99, Granville Arcade, Brixton Village",SW9 8PB,,,,,,walk_in,Default: walk-in for market traders until enriched,NOT_SENT — awaiting Anna approval,no,pending_full_enrichment
5,Ramzey Fish Monger,Fishmonger,Brixton,33 Market Row,SW9 8LB,,,,,,walk_in,Default: walk-in for market traders until enriched,NOT_SENT — awaiting Anna approval,no,pending_full_enrichment
6,Philips Butchers,Butcher shop,Brixton,35 Market Row,SW9 8LB,020 7274 1723,,https://brixtonvillage.com/trader/philips-butcher/,,,walk_in,Market trader — phone listed; walk-in best for founding partner chat,NOT_SENT — awaiting Anna approval,no,needs_enrichment
7,Dombey & Son,Butcher shop,Brixton,Unit 19 Market Row,SW9 8LB,020 7274 1035,,https://www.wearebrixtonvillage.co.uk/traders/dombey-and-son/,,Michael Dombey,walk_in,Phone + named owner; walk-in during quieter mid-morning,NOT_SENT — awaiting Anna approval,no,draft_ready
8,IRENE,Bakery,Brixton,"Coldharbour Ln, London",SW9 8PS,,hello@irenebakery.co.uk,https://www.irenebakery.co.uk/,@irene.bread,"Andrey Gusak (owner, public LinkedIn)",email,Public hello@ email + IG; Brixton unit 77-78 Granville,NOT_SENT — awaiting Anna approval,no,draft_ready
9,Atlantic Bakery,Bakery,Brixton,"The Metropolis, 67 Atlantic Rd, London",SW9 8PU,,,,,,verify_first,Default: walk-in for market traders until enriched,HOLD — possible closure,no,VERIFY — Brixton Blog Nov 2025 listed Atlantic Road Bakeries as closed; confirm before outreach
10,Brixton Foods Halal Meat,Butcher shop,Brixton,9 Electric Avenue,SW9 8JY,,,,,,walk_in,Default: walk-in for market traders until enriched,NOT_SENT — awaiting Anna approval,no,pending_full_enrichment
11,A K Halal,Butcher shop,Brixton,21 Electric Avenue,SW9 8JP,,,,,,walk_in,Default: walk-in for market traders until enriched,NOT_SENT — awaiting Anna approval,no,pending_full_enrichment
12,Daily Fresh Fish & Meat,Fishmonger,Brixton,16 Electric Avenue,SW9 8JX,,,,,,walk_in,Default: walk-in for market traders until enriched,NOT_SENT — awaiting Anna approval,no,pending_full_enrichment
13,Brixton Quality Fresh Fish & Seafood,Fishmonger,Brixton,8 Electric Avenue,SW9 8JX,,,,,,walk_in,Default: walk-in for market traders until enriched,NOT_SENT — awaiting Anna approval,no,pending_full_enrichment
14,L S Mash & Sons,Fishmonger,Brixton,Atlantic Road (Brixton market arches),SW9 8HX,,,,,,walk_in,Default: walk-in for market traders until enriched,NOT_SENT — awaiting Anna approval,no,pending_full_enrichment
15,Fish Bargain Warehouse,Fishmonger,Brixton,32 Acre Lane,SW2 5SG,,,,,,walk_in,Default: walk-in for market traders until enriched,NOT_SENT — awaiting Anna approval,no,pending_full_enrichment
16,Phil's Fruit and Green Grocers,Greengrocer,Brixton,Brixton Village,SW9 8PR,,,,,,walk_in,Default: walk-in for market traders until enriched,NOT_SENT — awaiting Anna approval,no,pending_full_enrichment
17,Esme's Organic Roots,Greengrocer,Brixton,"16A Market Row, Coldharbour Lane",SW9 8LD,020 7733 2065,,https://www.missesmes.com/,@esmes_roots,,walk_in,Phone + IG; no public email — walk-in or IG first,NOT_SENT — awaiting Anna approval,no,draft_ready
18,Brixton Foodland,Greengrocer,Brixton,6 Market Row,SW9 8LD,,,,,,walk_in,Default: walk-in for market traders until enriched,NOT_SENT — awaiting Anna approval,no,pending_full_enrichment
19,Aries Bakehouse,Bakery,Brixton,99 Acre Lane,SW2 5TU,,,https://aries-bakehouse.square.site,@ariesbakehouse,,instagram,Strong IG presence; no reliable public phone/email,NOT_SENT — awaiting Anna approval,no,draft_ready
20,Guzzl,Deli,Brixton,"9, Granville Arcade, Coldharbour Ln, London",SW9 8PR,020 7346 8811,andrew@guzzl.club,https://guzzl.co.uk/,@guzzl_club,Andrew / Jim,email,Public email on site; also phone + IG,NOT_SENT — awaiting Anna approval,no,draft_ready
