tier,outreach_priority,score,name,category,zone,postcode,address,meters_from_zone_center,lat,lng,source,why_fit,notes,place_id,district
A,now,98,Michael's Meat Market,Butcher shop,Brixton,SW9 8JL,49 Atlantic Rd,30,51.4625,-0.1128,research,Family butcher on Atlantic Rd since 1976 — classic day's-cut drops.,https://michaels-meats.localoria.com/,,SW9
A,now,98,Ilias Fish Shop,Fishmonger,Brixton,SW9 8PR,"Unit 16, Granville Arcade, Brixton Village",42,51.4623,-0.1119,research,Family fish & oyster counter advising on catch of the day — live lobster to Dover sole; ideal named catch drops in the Village cluster.,https://brixtonvillage.com/trader/ilias-fish-shop/,,SW9
A,now,98,Carniceria Los Andes,Butcher shop,Brixton,SW9 8PR,"Unit 13, Granville Arcade, Brixton Village",42,51.4623,-0.1119,research,Colombian butcher specialising in Latin cuts and pork — distinctive day's cuts differentiate from Moen/Ginger Pig in the Village.,https://brixtonvillage.com/trader/carniceria-los-andes/,,SW9
A,now,98,Harry Otto & Sons,Fishmonger,Brixton,SW9 8PB,"Units 22 & 99, Granville Arcade, Brixton Village",50,51.4624,-0.1118,research,"Three-generation Village fishmonger selling shellfish, red snapper and haddock — multi-decade indie catch counter.",https://brixtonvillage.com/trader/harry-otto-sons/,,SW9
A,now,98,Ramzey Fish Monger,Fishmonger,Brixton,SW9 8LB,33 Market Row,59,51.462,-0.1132,research,Traditional Market Row fishmonger with broad affordable seafood range — daily arrivals suit catch-of-the-day posts.,https://brixtonvillage.com/trader/ramzey-fish-monger/,,SW9
A,now,98,Philips Butchers,Butcher shop,Brixton,SW9 8LB,35 Market Row,65,51.462,-0.1133,research,Family Market Row butcher known for less-obvious cuts and pigs' heads each morning — strong day's-cut / limited tray story.,https://brixtonvillage.com/trader/philips-butcher/,,SW9
A,now,98,Dombey & Son,Butcher shop,Brixton,SW9 8LB,Unit 19 Market Row,65,51.46195,-0.11325,research,Long-running Market Row butcher (since 1983) — day's cuts in the Village pocket.,https://www.wearebrixtonvillage.co.uk/traders/dombey-and-son/,,SW9
A,now,97,IRENE,Bakery,Brixton,SW9 8PS,"Coldharbour Ln, London",58,51.462472600000005,-0.1117127,wave1_pins,Named daily batch / end-of-day loaves,,ChIJoxr5r4cFdkgRQfcJW9FRavU,SW9
A,now,97,Atlantic Bakery,Bakery,Brixton,SW9 8PU,"The Metropolis, 67 Atlantic Rd, London",143,51.4613074,-0.1111775,wave1_pins,Named daily batch / end-of-day loaves,,ChIJoyNUSm8EdkgR1K_JxmNLX9s,SW9
A,now,96,Dugard & Daughters,Butcher shop,Herne Hill,SE24 0EZ,"Arch 286, Milkwood Road",41,51.4532,-0.1015,research,"Family butcher & larder under Herne Hill station with rare-breed meat, dry-aged beef and artisan larder — perfect day's-cut drops.",https://dugardanddaughters.co.uk/,,SE24
A,now,96,Brixton Foods Halal Meat,Butcher shop,Brixton,SW9 8JY,9 Electric Avenue,96,51.4626,-0.1138,research_expansion,Active Electric Avenue halal butcher (Brixton Foods Halal Meat Ltd) with West Indian & African meats — day's cuts on the market street.,https://open.endole.co.uk/explorer/postcode/sw9-8jy,,SW9
A,now,96,A K Halal,Butcher shop,Brixton,SW9 8JP,21 Electric Avenue,96,51.4626,-0.1138,research_expansion,Independent Electric Avenue halal butcher — limited tray / day's cut story on the Brixton market spine.,https://www.allinlondon.co.uk/regions/brixton/streets/electric-avenue,,SW9
A,now,96,Daily Fresh Fish & Meat,Fishmonger,Brixton,SW9 8JX,16 Electric Avenue,96,51.4626,-0.1138,research_expansion,Active fish & meat retailer (inc. Jan 2025) on Electric Avenue — daily catch / meat trays fit catch-of-the-day drops.,https://find-and-update.company-information.service.gov.uk/company/16204707,,SW9
A,now,96,Brixton Quality Fresh Fish & Seafood,Fishmonger,Brixton,SW9 8JX,8 Electric Avenue,96,51.4626,-0.1138,research_expansion,Active Electric Avenue fish & seafood retailer (inc. May 2025) — street-market catch counter for named daily arrivals.,https://find-and-update.company-information.service.gov.uk/company/16434717,,SW9
A,now,96,L S Mash & Sons,Fishmonger,Brixton,SW9 8HX,Atlantic Road (Brixton market arches),130,51.463,-0.114,research_expansion,Long-cited Atlantic Road fishmonger (fresh & frozen seafood) — catch counter on the Brixton–station spine (verify unit still trading before outreach).,https://eatinbrixton.com/2014/04/08/fishmongers/,,SW9
A,now,96,Jones The Butcher,Butcher shop,Herne Hill,SE24 0NT,1 Dulwich Road,197,51.4545,-0.1035,research,"Three-generation Herne Hill butcher specialising in quality meat, poultry and game — classic limited day's cuts / pre-order collections.",https://jonesthebutcher.me.uk/contact/,,SE24
A,now,96,Fish Bargain Warehouse,Fishmonger,Brixton,SW2 5SG,32 Acre Lane,776,51.461,-0.1235,research_expansion,Long-running Acre Lane fish retailer (est. 1982) next to TRAID cluster — affordable seafood counter for catch specials.,https://ukbizdb.co.uk/company/fish-bargain-warehouse-limited-01627176,,SW9
A,now,95,Phil's Fruit and Green Grocers,Greengrocer,Brixton,SW9 8PR,Brixton Village,36,51.4622,-0.112,research,"Village greengrocer for yams, plantains, tropical produce — day's arrivals.",https://brixtonvillage.com/shop/,,SW9
A,now,95,Arapina Bakery - Herne Hill Market,Bakery,Herne Hill,SE24 0JN,"Railton Rd, London",38,51.4530062,-0.1025425,wave1_pins,Named daily batch / end-of-day loaves,,ChIJd7P8cu0FdkgRkwZisQatl6M,SE24
A,now,95,Blackbird Bakery Herne Hill,Bakery,Herne Hill,SE24 0JT,"230 Railton Rd, London",40,51.4526827,-0.1022767,wave1_pins,Named daily batch / end-of-day loaves,,ChIJLY9E3nIEdkgRraPhyUlJPsc,SE24
A,now,95,Dough Artisan Bakehouse,Bakery,Herne Hill,SE24 0EZ,"Arch 284, Milkwood Road",47,51.4532,-0.1014,research,Family scratch bakery next to Dugard arches; daily sourdough and pastry batches (Herne Hill loaf etc.) ready for named end-of-day drops.,https://www.doughbakehouse.co.uk/,,SE24
A,now,95,Esme's Organic Roots,Greengrocer,Brixton,SW9 8LD,"16A Market Row, Coldharbour Lane",77,51.4619,-0.1134,research,Black-owned family greengrocer (20+ years) for Caribbean/African produce and herbs — seasonal arrivals are natural named drops.,https://www.esmesherbalroots.com/about,,SW9
A,now,95,Brixton Foodland,Greengrocer,Brixton,SW9 8LD,6 Market Row,79,51.46195,-0.1135,research,"Traditional Afro-Caribbean greengrocer for yams, pulses, salt fish and fresh produce — day's produce specials fit greengrocer ICP.",https://brixtonvillage.com/trader/brixton-foodland/,,SW9
A,now,95,Brixton Cake Shop,Bakery,Herne Hill,SE24 9AA,53-59 Norwood Road,89,51.4535,-0.101,research_expansion,Independent cake shop on the Herne Hill Norwood Road strip facing Brockwell Park — named celebration and daily cakes fit perishable bakery drops.,http://www.southlondonguide.co.uk/hernehill/norwoodroad.htm,,SE24
A,now,95,Bunhead Bakery,Bakery,Herne Hill,SE24 0NG,145 Dulwich Road,195,51.4538,-0.1045,research_expansion,"Palestinian-founded indie bakery opposite Brockwell Park; rotating named sourdough buns (knafeh, za'atar & feta) close when sold out — textbook limited batch drops.",https://www.bunheadbakery.com/visit-us,,SE24
A,now,95,Christopher's,Bakery,Herne Hill,SE24 9JY,"145 Half Moon Ln, London",621,51.4533663,-0.0930599,wave1_pins,Named daily batch / end-of-day loaves,,ChIJYcwwmIoDdkgRCC4HcIPpeYM,SE24
A,now,95,Aries Bakehouse,Bakery,Brixton,SW2 5TU,99 Acre Lane,688,51.4605,-0.122,research_expansion,"Independent scratch bakery on Acre Lane; sourdough, challah and pastries often sell out — classic named daily batch / pre-order drops near Brixton.",https://honestbread.co.uk/bakery/aries-bakehouse/,,SW9
A,now,94,Guzzl,Deli,Brixton,SW9 8PR,"9, Granville Arcade, Coldharbour Ln, London",41,51.46221440000001,-0.11192249999999998,wave1_pins,Today’s specials / perishable counter,,ChIJGYz8qGgEdkgRyO7G5cCHNN0,SW9
A,now,94,The Black Farmer Brixton Farmshop,Farm shop,Brixton,SW9 8LD,25-27 Market Row,73,51.46195,-0.1134,research,Farmshop meat/fish/deli/produce — multi-drop,https://theblackfarmer.com/pages/the-black-farmer-brixton-farmshop,,SW9
A,now,94,Cinco Quinas (Talho Açougue),Butcher shop,Brixton,SW9 8HX,13 Atlantic Road,141,51.463,-0.1142,research,Portuguese butcher in Atlantic arches,eatinbrixton,,SW9
A,now,93,Ma Soda,Greengrocer,Brixton,SW9 8PR,"Unit 17, Granville Arcade, Brixton Village",42,51.4623,-0.1119,research_expansion,Multi-decade Latin & Caribbean greengrocer sourcing globally — day's produce arrivals for named limited drops.,https://brixtonvillage.com/trader/ma-soda/,,SW9
