name,type,city,address,postcode,district,website,phone,rating,reviews
Accessorize,Clothing Shop,Waterloo,"Unit 4 Cab Rd, Waterloo Station",SE1 8SW,SE1,https://www.accessorize.com/uk/stores/l/london/cab-road/4626870,+44 20 7928 6049,4.4,59
Bankside Arches Boutique,Gift shop,South Bank / Waterloo,"Shop 1, South Terminal We are located inside the station, Blackfriars station",SE1 9JH,SE1,http://instagram.com/banksidearchesboutique,+44 7463 236733,4.9,166
Cell Vintage,Vintage Clothing Shop,South Bank / Waterloo,9 Belvedere Rd,SE1 8YT,SE1,,,,
City Cobbler,Shoe repair shop,South Bank / Waterloo,86 Tower Bridge Rd,SE1 4TP,SE1,https://citycobbler.net/,+44 20 7740 1293,4,130
Cobblers Nest,Shoe repair shop,South Bank / Waterloo,76 Redcross Way,SE1 1HA,SE1,http://www.cobblersnest.com/,+44 20 7357 9394,4.2,306
Divine boutique london,Clothing Shop,South Bank / Waterloo,263 Old Kent Rd,SE1 5LU,SE1,,+44 7950 206413,5,2
Fashion and Textile Museum,Art museum,South Bank / Waterloo,83 Bermondsey St,SE1 3XF,SE1,https://fashiontextilemuseum.org/,+44 20 7407 8664,4,395
FatFace,Clothing Shop,Waterloo,"Waterloo Station, Unit 11-12 York Rd, The Balcony",SE1 7LY,SE1,https://www.fatface.com/storelocator/waterloostation-fatface/5968,+44 20 7620 3044,4.2,27
Funky Shoes,Shoe Shop,South Bank / Waterloo,"Flat 4, Lafone House, New Park Rd",SE1 4UT,SE1,https://funkyshoes-ltd.ueniweb.com/%3Futm_campaign%3Dgmb,+44 7939 346593,5,2
Hartex,Vintage Clothing Shop,South Bank / Waterloo,"Unit 9, Gabriels Wharf, 56 Upper Ground",SE1 9PP,SE1,http://www.hartexfeelsgood.com/,,4.5,91
Heads Rule Hearts,Ladies' Clothes Shop,South Bank / Waterloo,"Unit 8, Gabriels Wharf, 56 Upper Ground",SE1 9PP,SE1,,+44 20 7928 1122,5,2
Honour Clothing,Clothing Shop,South Bank / Waterloo,86 Lower Marsh,SE1 7AB,SE1,https://www.honourclothing.com/pages/contact,+44 1923 813463,4.7,28
Jackman,Clothing Shop,South Bank / Waterloo,3 Park St,SE1 9AB,SE1,https://www.jackman.jp/en/shop/,+44 20 3006 1656,4.1,15
Laundry service & Dry Cleaners @ Borough,Dry cleaner,South Bank / Waterloo,297 Borough High St,SE1 1JG,SE1,,+44 20 7403 6726,3.5,75
Le Premier Shoe Care 2,Shoe repair shop,South Bank / Waterloo,110 Lower Marsh,SE1 7AE,SE1,,+44 20 7928 7923,3.6,103
Oliver Bonas,Clothing Shop,Waterloo,"Units 7 - 9, The Balcony, Waterloo Station",SE1 7LY,SE1,https://www.oliverbonas.com/waterloo%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DLPM-London-Waterloo_Station_Unit_9_The_Balcony,+44 20 7362 3870,4.4,36
Petriiski Fashion,Fashion designer,South Bank / Waterloo,"Tanner Place, 54-58 Tanner St",SE1 3PH,SE1,https://petriiskifashion.com/,+44 20 7357 9661,4.7,31
Reiss (London Bridge Station),Clothing Shop,South Bank / Waterloo,"Unit 19, Western Arcade Bridge Station",SE1 9SP,SE1,https://www.reiss.com/storelocator/reisslondonbridge/4255%3Futm_source%3Dgmb%26utm_medium%3Dorganic_search%26utm_campaign%3Dlocal_seo,+44 20 7357 9687,4,25
Seaward & Stearn,Clothing Shop,South Bank / Waterloo,112 Bermondsey St,SE1 3TX,SE1,http://www.seawardandstearn.com/,+44 20 7403 9770,5,12
Shoe Zone,Shoe Shop,South Bank / Waterloo,Unit 312 Elephant and Castle,SE1 6TB,SE1,https://www.shoezone.com/Stores/Elephant%2520and%2520Castle-1856%3Futm_source%3Dgoogle-places%26utm_medium%3Dgoogle-places%26utm_campaign%3Dgoogle-places,+44 20 7703 8940,3.5,30
Skin Two Waterloo (Previously Honour Shop),Clothing Shop,Waterloo,86 Lower Marsh,SE1 7AB,SE1,https://www.skintwo.com/%3Futm_source%3Dlocal%26utm_medium%3Dorganic%26utm_campaign%3DWaterloo%26utm_content%3Dgmb,+44 20 7401 8219,4.6,70
The Stock Shop,Clothing Shop,South Bank / Waterloo,"St Thomas's Hospital, 6, Main Entrance, Lambeth Palace Rd",SE1 7EH,SE1,http://www.thestockshop.co.uk/,+44 20 7993 3351,4.3,10
Tower Bridge Shoe & Luggage Repairs,Shoe repair shop,South Bank / Waterloo,111 Tower Bridge Rd,SE1 4TW,SE1,http://www.towerbridgeshoeandluggagerepairs.co.uk/,+44 7494 850926,4.6,244
TROVE 167,Gift shop,South Bank / Waterloo,167 Bermondsey St,SE1 3UF,SE1,http://www.trove167.co.uk/,+44 7444 042275,4.2,48
"Vamp Sneaker Cleaning Drop-Off Hub (Sustainable, Trainer, Sneakers)",Shoe repair shop,Kennington,"Lambeth Dry Cleaners & Laundry, 16 Kennington Rd",SE1 7BL,SE1,http://vampsneakercleaning.com/,+44 7418 626438,4.8,76
Vendula London - Gabriel's Wharf,Fashion accessories shop,South Bank / Waterloo,56 Upper Ground,SE1 9PP,SE1,http://www.vendulalondon.com/,+44 20 3026 0002,4.4,106
Waterloo Dry Cleaners & Clothing alterations - Repairs,Dry cleaner,Waterloo,80 The Cut,SE1 8LW,SE1,,+44 20 7021 0662,4.5,120
Whistles,Ladies' Clothes Shop,South Bank / Waterloo,"Unit 20, Bridge Station",SE1 9SP,SE1,https://www.whistles.com/,+44 20 7357 8834,4.7,27
Boutiqueplus4u.com,Clothing Shop,Kennington,Kennington Oval,SE11 5BX,SE11,https://boutiqueplus4u.com/,+44 7931 502286,,
Inmysize.store,Ladies' Clothes Shop,Kennington,"Flat 19, Kennington Oval",SE11 5BU,SE11,https://www.inmysize.store/,+44 20 7735 4114,,
Oval Shoe Repairs & Key Cutting,Shoe repair shop,Kennington,310 Kennington Park Rd,SE11 4PP,SE11,,,4.9,325
Vauxhall Worgan Street Sainsbury's (Argos Colletion Point),Department store,Vauxhall,3A Graphite square,SE11 5EE,SE11,https://www.argos.co.uk/stores/6243-vauxhall-worgan-street-sainsbury%27s-(argos-colletion-point)%3Fy_source%3D1_MjA1Nzk2Nzc3NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%253D%253D,,,
Bambino,Vintage Clothing Shop,Crystal Palace,32 Church Rd,SE19 2ET,SE19,,+44 7956 323164,4.9,24
Crystal Palace Vintage,Vintage Clothing Shop,Crystal Palace,35 Westow St,SE19 3RW,SE19,,+44 20 8916 1626,,
D Solos,Clothing Shop,Crystal Palace,23 Church Rd,SE19 2TE,SE19,http://www.dsoloclothing.co.uk/,+44 20 8653 7585,4.9,41
Fisher Shoe Repairs,Shoe repair shop,Crystal Palace,38 Westow Hill,SE19 1RX,SE19,,+44 20 8670 1775,4.4,29
Josephine's London,Boutique,Crystal Palace,"Hollybush Terrace, 4 Westow St",SE19 3SD,SE19,http://www.josephines.london/,+44 20 8653 4425,4.6,14
Love Bridal Ltd,Bridal shop,Crystal Palace,57 Westow St,SE19 3RW,SE19,http://www.lovebridal.co.uk/,+44 20 8771 0738,4.2,158
Mary’s Vintage,Ladies' Clothes Shop,Crystal Palace,Haynes Ln,SE19 3AN,SE19,http://marysvintage.co.uk/,,,
Merlin Shoes,Shoe Shop,Crystal Palace,44 Westow St,SE19 3AH,SE19,,+44 20 8771 5194,3.7,53
School Wear United Ltd.,Clothing Shop,West Norwood,3 Crown Dl,SE19 3PB,SE19,http://www.schoolwearunited.co.uk/,+44 20 8655 7373,4.3,469
Simon Carter,Men's Clothes Shop,Crystal Palace,71 Westow St,SE19 3RW,SE19,https://www.simoncarter.net/,+44 20 8768 1457,4.4,13
The Dulwich Trader,Department store,West Norwood,9-11 Croxted Rd,SE21 8SZ,SE21,http://www.rigbyandmac.com/thedulwichtrader,+44 20 8761 3457,4.3,57
Tomlinsons,Gift shop,Dulwich,89 Dulwich Village,SE21 7BJ,SE21,http://www.rigbyandmac.com/tomlinsons,+44 20 8299 1260,4.2,17
Brixton Shoe Works,Shoe repair shop,Brixton,129A Railton Rd,SE24 0LT,SE24,,+44 7498 170701,,
Brothers Green Vintage,Vintage Clothing Shop,Herne Hill,4 Half Moon Ln,SE24 9HU,SE24,https://brothersgreenuk.com/,,5,11
Dulwich Cobblers,Shoe repair shop,Dulwich,305 Railton Rd,SE24 0JN,SE24,http://www.dulwichcobblers.co.uk/,+44 20 7738 7951,4.9,69
Lowie,Ladies' Clothes Shop,Herne Hill,18 Half Moon Ln,SE24 9HU,SE24,http://ilovelowie.com/,+44 20 7737 3310,4.7,61
White Feather Boutique,Clothing Shop,Herne Hill,294 Milkwood Rd,SE24 0EZ,SE24,http://www.whitefeatherboutique.co.uk/,+44 20 7733 7220,4,21
Cenci vintage clothing & accessories,Vintage Clothing Shop,West Norwood,4 Nettlefold Pl,SE27 0JW,SE27,http://www.cenci.co.uk/,+44 20 8766 8564,4.3,75
Dulwich Shoe Repairs,Shoe repair shop,West Norwood,"Modern Shoe Repairs, 233 Gipsy Rd",SE27 9QY,SE27,,+44 20 8670 2969,4.7,96
Fairisle Fix It,Clothing alteration service,West Norwood,34 Norwood High St,SE27 9NR,SE27,https://stationtostation.london/business/fairisless-fix-it/,+44 7930 395808,4.3,35
Fashion Clicks,Ladies' Clothes Shop,West Norwood,4 Knights Hill,SE27 0HY,SE27,https://fashionclicks.co.uk/,+44 20 8761 4117,4.5,12
