name,contactEmail,category,city,address,postcode,instagramHandle,website,description,_why,_type,_emails_found
Accessorize,customerservices@monsoon.co.uk,Fashion & Apparel,London,"Unit 4 Cab Rd, Waterloo Station",SE1 8SW,accessorize,https://www.accessorize.com/uk/stores/l/london/cab-road/4626870,"Shop the Accessorize sale now. Pick up the perfect sale bag, sale Winter accessories and clothing before it's gone! Up to 50% off sale.",pc+hint:SE1,Clothing Shop,3
Accessorize,customerservices@monsoon.co.uk,Fashion & Apparel,London,"Unit 4a, Clapham Junction, The Junction Centre, Grant Rd",SW11 1RU,accessorize,https://www.accessorize.com/uk/stores/l/london/grant-rd/4626943,"Shop the Accessorize sale now. Pick up the perfect sale bag, sale Winter accessories and clothing before it's gone! Up to 50% off sale.",hint,Clothing Shop,3
Afrodesigns.co.uk,info@afrodesigns.co.uk,Fashion & Apparel,London,"29-31 Granville Arcade, Brixton Village Inside Market Hall, Atlantic Rd",SW9 8PR,afrodesigns.co.uk,https://afrodesigns.co.uk/,We do accept refunds and exchanges however goods must be returned within 7 days of purchase in the same condition as they were received. Unless an initial,pc:SW9,Clothing Shop,3
Atelier by Khosh - The Tailor,contact@atelierbykhosh.co.uk,Fashion & Apparel,London,4 Landor Rd,SW9 9PP,,http://www.atelierbykhosh.co.uk/,"Discover the epitome of elegance with bespoke tailoring for women at Atelier by Khosh. Specializing in couture bridal gowns and exclusive custom creations, we craft timeless garments that celebrate your individuality and style.",pc:SW9,Clothing alteration service,2
Balfe's Bikes Streatham,jane@balfesbikes.co.uk,Fashion & Apparel,London,87 Streatham Hill,SW2 4UB,balfes_bikes,https://www.balfesbikes.co.uk/,Explore Giant bikes and gear at Balfe’s Bikes. Shop online or visit one of our 12 stores. Free UK delivery and Click & Collect available.,pc:SW2,Bicycle Shop,2
Belles Mains Couture,info@bellesmainscouture.co.uk,Fashion & Apparel,London,"Streatham Ct., Streatham High Rd",SW16 1DL,,http://www.bellesmainscouture.co.uk/,"Belles Mains Couture in Streatham is your complete dressmaker and fashion design service, bringing your ideas and style to life through haute couture.",pc:SW16,Haute couture fashion house,1
Best of Both Boutique,agustinamingote@gmail.com,Fashion & Apparel,London,17 Brixton Station Rd,SW9 8PB,bestofbothboutique,http://bestofbothboutique.co.uk/,,pc:SW9,Ladies' Clothes Shop,3
Boots,khuber@aboysupply.com,Fashion & Apparel,London,174-180 Clapham High St,SW4 7UG,bootsuk,https://www.boots.com/stores/1666-london-clapham-high-street-sw4-7ug%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3DLPM_google_1666,"See What’s Possible™ at your eye test. Learn why you should get your eyes examined regularly, the types of tests available, and how to book.",pc+hint:SW4,Beauty supply store,3
Boutiqueplus4u.com,inmysize@outlook.com,Fashion & Apparel,London,Kennington Oval,SE11 5BX,,https://boutiqueplus4u.com/,"Make a sophisticated statement with this stunning Black &amp; Camel Embellished Dress, designed to flatter and elevate your look for any occasion. Featuring a stylish peplum silhouette, this dress enhances your natural shape while offering a chic and feminine finish. Crafted from high-quality polyester, it provides a c",pc:SE11,Clothing Shop,1
Brixton Cycles,info@brixtoncycles.co.uk,Fashion & Apparel,London,200 Coldharbour Ln,SE5 9QH,brixtoncycles,http://www.brixtoncycles.co.uk/,"Independent, workers' co-operative bike store for sales and repairs, plus clothing and accessories.",pc+hint:SE5,Bicycle Shop,2
Brixton Jamm,info@brixtonjamm.org,Fashion & Apparel,London,261 Brixton Rd,SW9 6LH,brixtonjamm,https://www.brixtonjamm.org/,"Laid-back bar club hosting eclectic programme of live music, DJ sets and after parties.",pc:SW9,Nightclub,3
Chasing Money,wlcmbrnd@gmail.com,Fashion & Apparel,London,17-19 Stockwell Rd,SW9 9AU,chasing.money.ldn,http://www.chasing-money.com/,"Chasing Money®️ is an independent brand born in London and inspired by the street, showcased as ready-to-wear collections . Chasing Money is a reflection of modern society, music culture and references to the past .",pc:SW9,Clothing Shop,1
Circa Vintage,shop@circavintage.com,Fashion & Apparel,London,87a Lansdowne Way,SW8 2PB,circavintagelondon,http://www.circavintage.com/,"Compact store selling a collection of high fashion vintage womenswear, jewellery and accessories.",pc:SW8,Vintage Clothing Shop,2
Circus Brixton Limited,contact@circusbrixton.com,Fashion & Apparel,London,"79, Market, Brixton Village, Atlantic Rd",SW9 8PS,circusbrixtonvillage,http://www.circusbrixton.com/,"Colourful, beautiful and refined. and a careful curation of hand-picked vintage and contemporary one-offs has turned Circus into a shop that has become a magnet for interiors professionals and the discerning shopper.",pc:SW9,Homewares Shop,1
Clapham Books,shop@claphambooks.com,Fashion & Apparel,London,26 The Pavement,SW4 0JA,,http://www.claphambooks.com/,A fantastic independent bookstore in the heart of Clapham.,pc+hint:SW4,Book Shop,2
Clapham Cycle,shop@claphamcycle.com,Fashion & Apparel,London,255 Lavender Hill,SW11 1JD,claphamcycle,http://www.claphamcycle.com/,Workshop,hint,Bicycle Shop,2
Clarissas Boutique,john@clarissasboutique.co.uk,Fashion & Apparel,London,"Unit B10, The Link Business Centre, 49 Effra Rd",SW2 1BZ,,https://clarissasboutique.co.uk/,,pc:SW2,Ladies' Clothes Shop,1
Clique,customercare@cliquekara.com,Fashion & Apparel,London,81 Streatham High Rd,SW16 1PH,,https://cliquekara.com/,"AMBITIOUS - RHOME Retro Runner: Step Back in Style, Stride Forward in Comfort The AMBITIOUS RHOME Retro Runner brings a modern revival of classic athletic style to your everyday look. Crafted with a premium mix of suede, breathable nylon/mesh, and durable synthetic overlays, these sneakers offer both style and lasting",pc:SW16,Men's Clothes Shop,2
Diverse,info@diversegifts.co.uk,Fashion & Apparel,London,390 Coldharbour Ln,SW9 8LF,diversegifts,http://www.diversegifts.co.uk/,"Discover Black artists, writers and makers.",pc:SW9,Gift shop,1
DM Touch,typesetit@att.net,Fashion & Apparel,London,"Unit B19, DM Touch No49 The Link, Effra Rd",SW2 1BZ,dmtouch,http://dmtouch.com/,African tailoring in uk,pc:SW2,Designer Clothing Shop,1
FatFace,anthony.thompson@fatface.co.uk,Fashion & Apparel,London,"Waterloo Station, Unit 11-12 York Rd, The Balcony",SE1 7LY,fatface,https://www.fatface.com/storelocator/waterloostation-fatface/5968,Discover our collection of Women's Sweatshirts & Hoodies at FatFace. Shop online today.,pc+hint:SE1,Clothing Shop,3
