name,contactEmail,category,city,address,postcode,instagramHandle,website,description
Afrodesigns.co.uk,info@afrodesigns.co.uk,Fashion & Apparel,Brixton,"29-31 Granville Arcade, Brixton Village Inside Market Hall, Atlantic Rd",SW9 8PR,afrodesigns.co.uk,https://afrodesigns.co.uk/,We do accept refunds and exchanges however goods must be returned within 7 days of purchase in the same condition as they were received. Unless an initial
Atelier by Khosh - The Tailor,contact@atelierbykhosh.co.uk,Fashion & Apparel,Brixton,4 Landor Rd,SW9 9PP,,http://www.atelierbykhosh.co.uk/,"Discover the epitome of elegance with bespoke tailoring for women at Atelier by Khosh. Specializing in couture bridal gowns and exclusive custom creations, we craft timeless garments that celebrate your individuality and style."
Belles Mains Couture,info@bellesmainscouture.co.uk,Fashion & Apparel,Streatham,"Streatham Ct., Streatham High Rd",SW16 1DL,,http://www.bellesmainscouture.co.uk/,"Belles Mains Couture in Streatham is your complete dressmaker and fashion design service, bringing your ideas and style to life through haute couture."
Best of Both Boutique,agustinamingote@gmail.com,Fashion & Apparel,Brixton,17 Brixton Station Rd,SW9 8PB,bestofbothboutique,http://bestofbothboutique.co.uk/,
Boutiqueplus4u.com,inmysize@outlook.com,Fashion & Apparel,Kennington,Kennington Oval,SE11 5BX,,https://boutiqueplus4u.com/,"Make a sophisticated statement with this stunning Black &amp; Camel Embellished Dress, designed to flatter and elevate your look for any occasion. Featuring a stylish peplum silhouette, this dress enhances your natural shape while offering a chic and feminine finish. Crafted from high-quality polyester, it provides a c"
Chasing Money,wlcmbrnd@gmail.com,Fashion & Apparel,Stockwell,17-19 Stockwell Rd,SW9 9AU,chasing.money.ldn,http://www.chasing-money.com/,"Chasing Money®️ is an independent brand born in London and inspired by the street, showcased as ready-to-wear collections . Chasing Money is a reflection of modern society, music culture and references to the past ."
Circa Vintage,shop@circavintage.com,Fashion & Apparel,Vauxhall,87a Lansdowne Way,SW8 2PB,circavintagelondon,http://www.circavintage.com/,"Compact store selling a collection of high fashion vintage womenswear, jewellery and accessories."
Clarissas Boutique,john@clarissasboutique.co.uk,Fashion & Apparel,Brixton,"Unit B10, The Link Business Centre, 49 Effra Rd",SW2 1BZ,,https://clarissasboutique.co.uk/,
Clique,,Fashion & Apparel,Streatham,81 Streatham High Rd,SW16 1PH,,https://cliquekara.com/,"AMBITIOUS - RHOME Retro Runner: Step Back in Style, Stride Forward in Comfort The AMBITIOUS RHOME Retro Runner brings a modern revival of classic athletic style to your everyday look. Crafted with a premium mix of suede, breathable nylon/mesh, and durable synthetic overlays, these sneakers offer both style and lasting"
DM Touch,typesetit@att.net,Fashion & Apparel,Brixton,"Unit B19, DM Touch No49 The Link, Effra Rd",SW2 1BZ,dmtouch,http://dmtouch.com/,African tailoring in uk
