cluster,mechanic,track,name,address,postcode,type,channel,write_to,email,email_skipped,instagram,facebook,whatsapp,phone,phone_type,website,google_maps,placeId
Crystal Palace,curated_object,books,Bookseller Crow On The Hill,"50 Westow St, London",SE19 3AF,Book store,email,jonathan@booksellercrow.co.uk,jonathan@booksellercrow.co.uk,,https://instagram.com/booksellercrow,https://www.facebook.com/booksellercrow,,+44 20 8771 8831,landline,http://www.booksellercrow.co.uk/,https://maps.google.com/?cid=18178661737502269567&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJs_lkhU8BdkgRf-DOG4mUR_w
Crystal Palace,curated_object,fashion,Coconut Trading Ltd,"68 Church Rd, London",SE19 2EZ,Gift shop,instagram_dm,https://www.instagram.com/coconut_trading/,,,https://www.instagram.com/coconut_trading/,https://www.facebook.com/coconuttrading/,,+44 20 8771 0700,landline,,https://maps.google.com/?cid=10001479748603087347&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJH51un0UBdkgR8wnAW9dkzIo
Crystal Palace,curated_object,flowers,Crystal Palace Flowers,"The Alma, 95 Church Rd, London",SE19 2TA,Florist,email,info@crystalpalaceflowers.co.uk,info@crystalpalaceflowers.co.uk,,,https://www.facebook.com/1907959006144596,https://wa.me/447930348028,+44 7930 348028,mobile,https://www.crystalpalaceflowers.co.uk/,https://maps.google.com/?cid=10771458269770783584&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJb2wkuukBdkgRYJuhCjroe5U
Crystal Palace,curated_object,fashion,D Solos,"23 Church Rd, London",SE19 2TE,Clothing store,email,dsoloclothing@hotmail.com,dsoloclothing@hotmail.com,,https://www.instagram.com/dsolos,,,+44 20 8653 7585,landline,http://www.dsoloclothing.co.uk/,https://maps.google.com/?cid=8144045648215550944&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ4anSDkUBdkgR4Ct0OF52BXE
Crystal Palace,curated_object,fashion,Elkins,"85 Church Rd, London",SE19 2TA,Gift shop,instagram_dm,https://www.instagram.com/elkinsshop/,,,https://www.instagram.com/elkinsshop/,,,+44 20 8771 4998,landline,,https://maps.google.com/?cid=9498355329319873767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJVQeVnkUBdkgR56yM-tjv0IM
Crystal Palace,curated_object,fashion,Mary’s Vintage,"Haynes Ln, London",SE19 3AN,Women's clothing store,instagram_dm,https://www.instagram.com/marysvintage_mv,,,https://www.instagram.com/marysvintage_mv,,,,none,http://marysvintage.co.uk/,https://maps.google.com/?cid=9542693091870548454&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJi-Uyo08BdkgR5qGExc50boQ
Crystal Palace,curated_object,fashion,Pearl rose Jewellers,"76 Church Rd, London",SE19 2EZ,Jewelry store,email,pearlrosejewellers@gmail.com,pearlrosejewellers@gmail.com,,,,https://wa.me/447904563807,+44 7904 563807,mobile,http://pearlrosejewellers.co.uk/,https://maps.google.com/?cid=18191784159110831856&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ7UYvnEUBdkgR8B5h-k4zdvw
Crystal Palace,curated_object,books,Sound Vinyl,"42 Church Rd, London",SE19 2EZ,Store,instagram_dm,https://www.instagram.com/sound.vinyl,,,https://www.instagram.com/sound.vinyl,,https://wa.me/447984272851,+44 7984 272851,mobile,https://www.instagram.com/sound.vinyl/,https://maps.google.com/?cid=339813923649539541&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJvb1jly4BdkgR1c3ckPZCtwQ
Crystal Palace,curated_object,fashion,The Indigo Tree,"4, Hollybush Terrace, Westow St, London",SE19 3SD,Gift shop,facebook_dm,https://www.facebook.com/TheIndigoTreeLDN,,,,https://www.facebook.com/TheIndigoTreeLDN,https://wa.me/447470917283,+44 7470 917283,mobile,http://www.theindigotree.com/,https://maps.google.com/?cid=12104878917852143045&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJSQy-7U8BdkgRxR2xyz0r_ac
Crystal Palace,curated_object,wine,The Sourcing Table,"67 Westow Hill, London",SE19 1TS,Wine bar,email,hello@thesourcingtable.com,hello@thesourcingtable.com,,http://instagram.com/thesourcingtable,,,+44 20 3551 1005,landline,https://thesourcingtable.com/,https://maps.google.com/?cid=9316495324408725892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJK6gFMEUBdkgRhEH4-iLXSoE
