cluster,mechanic,track,name,address,postcode,street,website,phone,email,email_alt,email_quality,already_contacted,type,rating,reviews,note,placeId,googleMapsUri
Crystal Palace,curated_object,books,Bookseller Crow On The Hill,"50 Westow St, London",SE19 3AF,Westow St,http://www.booksellercrow.co.uk/,+44 20 8771 8831,jonathan@booksellercrow.co.uk,scribblingcrow@hotmail.com,ok,no,Book store,4.7,136,,ChIJs_lkhU8BdkgRf-DOG4mUR_w,https://maps.google.com/?cid=18178661737502269567&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,fashion,Coconut Trading Ltd,"68 Church Rd, London",SE19 2EZ,Church Rd,,+44 20 8771 0700,,,no_website,no,Gift shop,5,26,,ChIJH51un0UBdkgR8wnAW9dkzIo,https://maps.google.com/?cid=10001479748603087347&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,flowers,Crystal Palace Flowers,"The Alma, 95 Church Rd, London",SE19 2TA,Church Rd,https://www.crystalpalaceflowers.co.uk/,+44 7930 348028,info@crystalpalaceflowers.co.uk,,ok,no,Florist,4.4,35,,ChIJb2wkuukBdkgRYJuhCjroe5U,https://maps.google.com/?cid=10771458269770783584&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,fashion,D Solos,"23 Church Rd, London",SE19 2TE,Church Rd,http://www.dsoloclothing.co.uk/,+44 20 8653 7585,dsoloclothing@hotmail.com,,ok,no,Clothing store,4.9,41,,ChIJ4anSDkUBdkgR4Ct0OF52BXE,https://maps.google.com/?cid=8144045648215550944&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,fashion,Elkins,"85 Church Rd, London",SE19 2TA,Church Rd,,+44 20 8771 4998,,,no_website,no,Gift shop,5,17,,ChIJVQeVnkUBdkgR56yM-tjv0IM,https://maps.google.com/?cid=9498355329319873767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,fashion,Mary’s Vintage,"Haynes Ln, London",SE19 3AN,Haynes Ln,http://marysvintage.co.uk/,,,,none,no,Women's clothing store,,,,ChIJi-Uyo08BdkgR5qGExc50boQ,https://maps.google.com/?cid=9542693091870548454&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,fashion,Pearl rose Jewellers,"76 Church Rd, London",SE19 2EZ,Church Rd,http://pearlrosejewellers.co.uk/,+44 7904 563807,pearlrosejewellers@gmail.com,,ok,no,Jewelry store,4.8,35,,ChIJ7UYvnEUBdkgR8B5h-k4zdvw,https://maps.google.com/?cid=18191784159110831856&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,books,Sound Vinyl,"42 Church Rd, London",SE19 2EZ,Church Rd,https://www.instagram.com/sound.vinyl/,+44 7984 272851,,,none,no,Store,4.9,69,,ChIJvb1jly4BdkgR1c3ckPZCtwQ,https://maps.google.com/?cid=339813923649539541&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,fashion,The Indigo Tree,"4, Hollybush Terrace, Westow St, London",SE19 3SD,Westow St,http://www.theindigotree.com/,+44 7470 917283,,,none,no,Gift shop,4.5,29,,ChIJSQy-7U8BdkgRxR2xyz0r_ac,https://maps.google.com/?cid=12104878917852143045&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,wine,The Sourcing Table,"67 Westow Hill, London",SE19 1TS,Westow Hill,https://thesourcingtable.com/,+44 20 3551 1005,hello@thesourcingtable.com,peckham@thesourcingtable.com,ok,no,Wine bar,4.9,26,,ChIJK6gFMEUBdkgRhEH4-iLXSoE,https://maps.google.com/?cid=9316495324408725892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,fashion,Tine Bladbjerg,"A L'Etage, 4 Westow Hill, London",SE19 1RX,Westow Hill,http://tinebladbjerg.com/,+44 20 8761 1868,tinedesign@gmail.com,,ok,no,Jewelry store,5,2,,ChIJq6q7708BdkgR6LHWiWyfUMo,https://maps.google.com/?cid=14578327282316128744&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,wine,Urban Cellar,"48 Church Rd, London",SE19 2ET,Church Rd,https://urbancellar.co.uk/,+44 20 3417 8900,info@urbancellar.co.uk,stephtabb@hotmail.co.uk,ok,no,Liquor store,4.9,72,,ChIJlTtoqUARdkgRFZWvG3BZUtc,https://maps.google.com/?cid=15515562004280481045&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Blue Tit Crystal Palace,"1 Westow Hill, London",SE19 1TQ,Westow Hill,https://bluetitlondon.com/salons/crystal-palace/,+44 20 3474 5288,steve@bluetitlondon.com,,ok,no,Hair salon,5,344,,ChIJ23_PNn8BdkgRbTn09RWxJ1E,https://maps.google.com/?cid=5847837349042731373&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Celine Nails,"Abode London Ltd, 82 Westow Hill, London",SE19 1SB,Westow Hill,https://www.celinenailscrystalpalace.co.uk/,+44 20 7998 8450,thuyanh732018@gmail.com,,ok,no,Nail salon,4.6,105,,ChIJ8WworPoBdkgRp4kPbwbh-i0,https://maps.google.com/?cid=3313207893633763751&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Coral makeovers,"Abode London Ltd, 80 Westow Hill, London",SE19 1SB,Westow Hill,,+44 7466 466177,,,no_website,no,Beauty salon,5,1,,ChIJzcY8P-MBdkgRFMqhbK73_Oc,https://maps.google.com/?cid=16716508245411351060&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Crystal Nails,"40 Westow Hill, London",SE19 1RX,Westow Hill,https://www.instagram.com/crystal_palace_nails/?hl=en-gb,+44 7448 831978,,,none,no,Nail salon,4.1,197,,ChIJIUJDGVABdkgRnGlm_EiIPQI,https://maps.google.com/?cid=161435008708798876&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Damascus barbers,"12 Church Rd, London",SE19 2ET,Church Rd,http://sumupbookings.com/damascus-barbers-limited,+44 7378 572243,shannon.vvrdrd@gmail.com,,platform,no,Barber shop,4.8,70,,ChIJ13Z4tYYBdkgRacSXUoV-O74,https://maps.google.com/?cid=13707689001913664617&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Elysia Wellness,"Foresters hall, 25-27 Westow St, London",SE19 3RY,Westow St,https://elysiawellness4me.com/,+44 20 3916 6787,admin@elysiawellness4me.com,,ok,no,Massage service,4.7,34,,ChIJXS9A1IYBdkgRxGDVUTWsm80,https://maps.google.com/?cid=14815624744171561156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,GM's Hair Salon,"74 Westow Hill, London",SE19 1SB,Westow Hill,http://www.gmshair.com/,+44 20 8693 6777,emergencyhairessentials@gmshair.co.uk,,ok,no,Hair salon,4.6,142,,ChIJpzQGJUUBdkgR29YglFFPquQ,https://maps.google.com/?cid=16477069398484506331&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Hayley Nails spa,"81 Church Rd, London",SE19 2TA,Church Rd,http://hayleynails.co.uk/,+44 7446 853555,,,none,no,Nail salon,4.6,366,,ChIJH51un0UBdkgRvTeZuDl8PpA,https://maps.google.com/?cid=10393881577369712573&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Headmasters Crystal Palace,"59 Westow Hill, London",SE19 1TS,Westow Hill,https://www.headmasters.com/find-a-salon/crystal-palace/,+44 345 459 7760,marketing@headmasters.com,dev.babooa@headmasters.com,chain_hq,no,Hair salon,4.8,464,,ChIJA0emKUUBdkgRhxW-2oFZC0Y,https://maps.google.com/?cid=5047226221654316423&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,M&B Barbers,"63 Westow St, London",SE19 3RW,Westow St,,+44 20 8653 1599,,,no_website,no,Barber shop,4.4,82,,ChIJtyJ1gEUBdkgR_BaN7KYGX_Y,https://maps.google.com/?cid=17752915570120791804&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,MAKAS BARBERS SHOP,"Triangle House, 86a Westow Hill, London",SE19 1SB,Westow Hill,,,,,no_website,no,Barber shop,4.8,112,,ChIJJxBtOx8BdkgRXwg08gvOKP0,https://maps.google.com/?cid=18242056841367652447&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,OFF - CUT Crystal Palace,"13 Church Rd, London",SE19 2TF,Church Rd,https://off-cutbarbers.com/crystal-palace,+44 20 8916 1471,contact@off-cutbarbers.com,,ok,no,Barber shop,4.9,297,,ChIJ81ZfcfABdkgREEsQpXOXrAc,https://maps.google.com/?cid=552983377206070032&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Palace Barber Shop,"62 Westow Hill, London",SE19 1RX,Westow Hill,,+44 20 8761 5835,,,no_website,no,Barber shop,4.5,165,,ChIJb1oaOUUBdkgRWhi2HTvR6jw,https://maps.google.com/?cid=4389550838657718362&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Plaster Beauty,"46 Church Rd, London",SE19 2ET,Church Rd,http://www.plasterbeauty.com/,+44 7903 380855,plasterxaslmm@gmail.com,,ok,no,Beauty salon,4.7,69,,ChIJB1RhEEUBdkgR2ELVBSfH6nA,https://maps.google.com/?cid=8136534647213736664&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Revitalize Clinic,"Trade Court, 71 Church Rd, London",SE19 2TA,Church Rd,http://revitalize.london/,+44 7549 952434,revitalize.mel@hotmail.co.uk,,ok,no,Beauty salon,4.5,94,,ChIJGeAqIkUBdkgRyotgqy473-I,https://maps.google.com/?cid=16347850244007955402&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Rush Hair Crystal Palace,"22 Westow Hill, London",SE19 1RX,Westow Hill,https://www.rush.co.uk/salons/crystal-palace,+44 20 3474 5006,chris.beaumont13@me.com,edgrimes@hotmail.co.uk,chain_hq,no,Hair salon,4.5,394,,ChIJi2we-E8BdkgRON5_ZVxZPqg,https://maps.google.com/?cid=12123225500302695992&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
