cluster,mechanic,track,name,address,postcode,street,type,phone,website,google_maps,email,notes
Crystal Palace,curated_object,fashion,Coconut Trading Ltd,"68 Church Rd, London",SE19 2EZ,Church Rd,Gift shop,+44 20 8771 0700,,https://maps.google.com/?cid=10001479748603087347&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Crystal Palace,curated_object,fashion,D Solos,"23 Church Rd, London",SE19 2TE,Church Rd,Clothing store,+44 20 8653 7585,http://www.dsoloclothing.co.uk/,https://maps.google.com/?cid=8144045648215550944&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Crystal Palace,curated_object,fashion,Elkins,"85 Church Rd, London",SE19 2TA,Church Rd,Gift shop,+44 20 8771 4998,,https://maps.google.com/?cid=9498355329319873767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Crystal Palace,curated_object,fashion,Mary’s Vintage,"Haynes Ln, London",SE19 3AN,Haynes Ln,Women's clothing store,,http://marysvintage.co.uk/,https://maps.google.com/?cid=9542693091870548454&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Crystal Palace,curated_object,books,Sound Vinyl,"42 Church Rd, London",SE19 2EZ,Church Rd,Store,+44 7984 272851,https://www.instagram.com/sound.vinyl/,https://maps.google.com/?cid=339813923649539541&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Crystal Palace,curated_object,fashion,The Indigo Tree,"4, Hollybush Terrace, Westow St, London",SE19 3SD,Westow St,Gift shop,+44 7470 917283,http://www.theindigotree.com/,https://maps.google.com/?cid=12104878917852143045&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Crystal Palace,empty_chair,empty_chair,Coral makeovers,"Abode London Ltd, 80 Westow Hill, London",SE19 1SB,Westow Hill,Beauty salon,+44 7466 466177,,https://maps.google.com/?cid=16716508245411351060&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
Crystal Palace,empty_chair,empty_chair,Crystal Nails,"40 Westow Hill, London",SE19 1RX,Westow Hill,Nail salon,+44 7448 831978,https://www.instagram.com/crystal_palace_nails/?hl=en-gb,https://maps.google.com/?cid=161435008708798876&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Crystal Palace,empty_chair,empty_chair,Hayley Nails spa,"81 Church Rd, London",SE19 2TA,Church Rd,Nail salon,+44 7446 853555,http://hayleynails.co.uk/,https://maps.google.com/?cid=10393881577369712573&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,website but no email found
Crystal Palace,empty_chair,empty_chair,M&B Barbers,"63 Westow St, London",SE19 3RW,Westow St,Barber shop,+44 20 8653 1599,,https://maps.google.com/?cid=17752915570120791804&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,no website
