query,website,name,cluster,mechanic,track,address,postcode,placeId
booksellercrow.co.uk,http://www.booksellercrow.co.uk/,Bookseller Crow On The Hill,Crystal Palace,curated_object,books,"50 Westow St, London",SE19 3AF,ChIJs_lkhU8BdkgRf-DOG4mUR_w
crystalpalaceflowers.co.uk,https://www.crystalpalaceflowers.co.uk/,Crystal Palace Flowers,Crystal Palace,curated_object,flowers,"The Alma, 95 Church Rd, London",SE19 2TA,ChIJb2wkuukBdkgRYJuhCjroe5U
dsoloclothing.co.uk,http://www.dsoloclothing.co.uk/,D Solos,Crystal Palace,curated_object,fashion,"23 Church Rd, London",SE19 2TE,ChIJ4anSDkUBdkgR4Ct0OF52BXE
marysvintage.co.uk,http://marysvintage.co.uk/,Mary’s Vintage,Crystal Palace,curated_object,fashion,"Haynes Ln, London",SE19 3AN,ChIJi-Uyo08BdkgR5qGExc50boQ
pearlrosejewellers.co.uk,http://pearlrosejewellers.co.uk/,Pearl rose Jewellers,Crystal Palace,curated_object,fashion,"76 Church Rd, London",SE19 2EZ,ChIJ7UYvnEUBdkgR8B5h-k4zdvw
theindigotree.com,http://www.theindigotree.com/,The Indigo Tree,Crystal Palace,curated_object,fashion,"4, Hollybush Terrace, Westow St, London",SE19 3SD,ChIJSQy-7U8BdkgRxR2xyz0r_ac
thesourcingtable.com,https://thesourcingtable.com/,The Sourcing Table,Crystal Palace,curated_object,wine,"67 Westow Hill, London",SE19 1TS,ChIJK6gFMEUBdkgRhEH4-iLXSoE
tinebladbjerg.com,http://tinebladbjerg.com/,Tine Bladbjerg,Crystal Palace,curated_object,fashion,"A L'Etage, 4 Westow Hill, London",SE19 1RX,ChIJq6q7708BdkgR6LHWiWyfUMo
urbancellar.co.uk,https://urbancellar.co.uk/,Urban Cellar,Crystal Palace,curated_object,wine,"48 Church Rd, London",SE19 2ET,ChIJlTtoqUARdkgRFZWvG3BZUtc
bluetitlondon.com,https://bluetitlondon.com/salons/crystal-palace/,Blue Tit Crystal Palace,Crystal Palace,empty_chair,empty_chair,"1 Westow Hill, London",SE19 1TQ,ChIJ23_PNn8BdkgRbTn09RWxJ1E
celinenailscrystalpalace.co.uk,https://www.celinenailscrystalpalace.co.uk/,Celine Nails,Crystal Palace,empty_chair,empty_chair,"Abode London Ltd, 82 Westow Hill, London",SE19 1SB,ChIJ8WworPoBdkgRp4kPbwbh-i0
sumupbookings.com,http://sumupbookings.com/damascus-barbers-limited,Damascus barbers,Crystal Palace,empty_chair,empty_chair,"12 Church Rd, London",SE19 2ET,ChIJ13Z4tYYBdkgRacSXUoV-O74
elysiawellness4me.com,https://elysiawellness4me.com/,Elysia Wellness,Crystal Palace,empty_chair,empty_chair,"Foresters hall, 25-27 Westow St, London",SE19 3RY,ChIJXS9A1IYBdkgRxGDVUTWsm80
gmshair.com,http://www.gmshair.com/,GM's Hair Salon,Crystal Palace,empty_chair,empty_chair,"74 Westow Hill, London",SE19 1SB,ChIJpzQGJUUBdkgR29YglFFPquQ
hayleynails.co.uk,http://hayleynails.co.uk/,Hayley Nails spa,Crystal Palace,empty_chair,empty_chair,"81 Church Rd, London",SE19 2TA,ChIJH51un0UBdkgRvTeZuDl8PpA
headmasters.com,https://www.headmasters.com/find-a-salon/crystal-palace/,Headmasters Crystal Palace,Crystal Palace,empty_chair,empty_chair,"59 Westow Hill, London",SE19 1TS,ChIJA0emKUUBdkgRhxW-2oFZC0Y
off-cutbarbers.com,https://off-cutbarbers.com/crystal-palace,OFF - CUT Crystal Palace,Crystal Palace,empty_chair,empty_chair,"13 Church Rd, London",SE19 2TF,ChIJ81ZfcfABdkgREEsQpXOXrAc
plasterbeauty.com,http://www.plasterbeauty.com/,Plaster Beauty,Crystal Palace,empty_chair,empty_chair,"46 Church Rd, London",SE19 2ET,ChIJB1RhEEUBdkgR2ELVBSfH6nA
revitalize.london,http://revitalize.london/,Revitalize Clinic,Crystal Palace,empty_chair,empty_chair,"Trade Court, 71 Church Rd, London",SE19 2TA,ChIJGeAqIkUBdkgRyotgqy473-I
rush.co.uk,https://www.rush.co.uk/salons/crystal-palace,Rush Hair Crystal Palace,Crystal Palace,empty_chair,empty_chair,"22 Westow Hill, London",SE19 1RX,ChIJi2we-E8BdkgRON5_ZVxZPqg
sharpcrystal.co.uk,https://sharpcrystal.co.uk/,Sharp crystal,Crystal Palace,empty_chair,empty_chair,"Greystoke House, 21 Westow St, London",SE19 3RY,ChIJ9aQPXAABdkgR0KVJTqTSlS0
skintouch.london,http://www.skintouch.london/,Skintouch,Crystal Palace,empty_chair,empty_chair,"77 Church Rd, London",SE19 2TA,ChIJH51un0UBdkgR8-5mcTHvdKM
vbrowsandbeauty.com,https://www.vbrowsandbeauty.com/,V brows & beauty lounge,Crystal Palace,empty_chair,empty_chair,"18 Church Rd, London",SE19 2ET,ChIJf7vTEwMBdkgRuoBNtSndGJs
wellnesslasercentre.com,http://www.wellnesslasercentre.com/,Wellness & Laser Centre - Crystal Palace,Crystal Palace,empty_chair,empty_chair,"64 Church Rd, London",SE19 2EZ,ChIJyVKQnUUBdkgR1PaL64JcZBY
yourstylehairandtanning.co.uk,https://www.yourstylehairandtanning.co.uk/,Your Style Hair & Tanning Boutique,Crystal Palace,empty_chair,empty_chair,"75 Westow Hill, London",SE19 1TX,ChIJqVYyL0UBdkgRZYvDFPM56RQ
56westow.com,https://www.56westow.com/,56 WESTOW,Crystal Palace,end_of_day_food,end_of_day_food,"56 Westow Hill, London",SE19 1RX,ChIJS0NFSmUBdkgR5f1C9WEOfJw
blackbirdbakerylondon.co.uk,http://www.blackbirdbakerylondon.co.uk/,Blackbird Bakery Crystal Palace,Crystal Palace,end_of_day_food,end_of_day_food,"59 Westow St, London",SE19 3RW,ChIJ5ekShkUBdkgRlGhaGzQkgYc
bloomcafecrystalpalace.co.uk,https://bloomcafecrystalpalace.co.uk/,Bloom café crystalpalace,Crystal Palace,end_of_day_food,end_of_day_food,"70 Westow Hill, London",SE19 1SB,ChIJHQKETQEBdkgRu8kpWQgPA7c
brownandgreencafe.com,http://brownandgreencafe.com/,Brown & Green London,Crystal Palace,end_of_day_food,end_of_day_food,"99 Church Rd, London",SE19 2PR,ChIJYxkzkEUBdkgRBa4cmtq2L8s
chabela.co.uk,http://www.chabela.co.uk/,Chabela,Crystal Palace,end_of_day_food,end_of_day_food,"61 Westow St, London",SE19 3RW,ChIJNdHjf08BdkgRaS2dOetmz6w
champagneplusfromage.co.uk,https://champagneplusfromage.co.uk/crystal-palace/,Champagne + Fromage Crystal Palace,Crystal Palace,end_of_day_food,end_of_day_food,"1 Westow St, London",SE19 3RY,ChIJR3dDp2QBdkgRgqEaT7E6_Ks
etude.coffee,http://etude.coffee/,Etude Coffee - London,Crystal Palace,end_of_day_food,end_of_day_food,"87 Church Rd, London",SE19 2TA,ChIJkcP6FN4BdkgRiGNFASN5qyA
fourboroughs.co.uk,http://www.fourboroughs.co.uk/,Four Boroughs,Crystal Palace,end_of_day_food,end_of_day_food,"10 Church Rd, London",SE19 2ET,ChIJg7tVJ0UBdkgRomWuai-QYvY
400rabbits.co.uk,https://www.400rabbits.co.uk/crystalpalace,Four Hundred Rabbits: Pizza Restaurant Crystal Palace,Crystal Palace,end_of_day_food,end_of_day_food,"30-32 Westow St, London",SE19 3AH,ChIJnQnY7E8BdkgRfBKzZDePdrk
gails.com,https://gails.com/pages/crystal-palace,GAIL's Bakery Crystal Palace,Crystal Palace,end_of_day_food,end_of_day_food,"58-60 Westow Hill, London",SE19 1RX,ChIJL2JCMRMBdkgRzhtYLSOLcuw
hopscotchtap.com,https://www.hopscotchtap.com/,HopScotch Taprooms,Crystal Palace,end_of_day_food,end_of_day_food,"54 Westow Hill, London",SE19 1RX,ChIJDbAmZwABdkgRnNaReu18bHo
ivyandthewolf.com,http://www.ivyandthewolf.com/,"Ivy and the Wolf – Plants, Coffee & Nice Things",Crystal Palace,end_of_day_food,end_of_day_food,"Ivy and the Wolf, 61 Westow Hill, London",SE19 1TS,ChIJi_hA_Uun2EcRAmzFw7QD4Jk
kamari.london,http://www.kamari.london/,Kamari The Authentic Greek,Crystal Palace,end_of_day_food,end_of_day_food,"Foresters hall, 25 Westow St, London",SE19 3RY,ChIJk1mtJWEBdkgRFR9IdsSsLBk
lorenzo.uk.com,http://www.lorenzo.uk.com/,Lorenzo of Crystal Palace,Crystal Palace,end_of_day_food,end_of_day_food,"Burapa Thai Restaurant, 73 Westow Hill, London",SE19 1TX,ChIJK_q5KEUBdkgRTFdOUE0kXQ4
barpalazzo.com,https://www.barpalazzo.com/,Palazzo,Crystal Palace,end_of_day_food,end_of_day_food,"3-6 Church Rd, London",SE19 2TF,ChIJL7duNzUBdkgR3SZpPs4f230
phoeniciantaste.co.uk,http://phoeniciantaste.co.uk/,Phoenician,Crystal Palace,end_of_day_food,end_of_day_food,"48 Westow Hill, London",SE19 1RX,ChIJc8OvHAABdkgR1XSwQzDJ3ds
softplaybycch.as.me,https://softplaybycch.as.me/,Softplay by Coffee Cup House,Crystal Palace,end_of_day_food,end_of_day_food,"Libero Court, 18 Westow St, London",SE19 3RX,ChIJK0F1B3ABdkgR87qUwxb72DQ
spinach.london,http://spinach.london/spinachcrystalpalace,Spinach Crystal Palace,Crystal Palace,end_of_day_food,end_of_day_food,"Burapa Thai Restaurant, 69 - 71 Westow Hill, London",SE19 1TX,ChIJW15PNNsBdkgRzLoAofdDd5c
tarorestaurants.uk,https://tarorestaurants.uk/,Taro Crystal Palace,Crystal Palace,end_of_day_food,end_of_day_food,"107 Church Rd, London",SE19 2PR,ChIJG2pYURQBdkgR7j3-xdFYakQ
thefino.co.uk,http://www.thefino.co.uk/,The Fino,Crystal Palace,end_of_day_food,end_of_day_food,"23 Westow Hill, London",SE19 1TQ,ChIJjRUiUgABdkgRt6VStvNWVtw
brothersgreenuk.com,http://www.brothersgreenuk.com/,Brothers Green The Florist,Herne Hill,curated_object,flowers,"4-6 Half Moon Ln, London",SE24 9HU,ChIJazsTkEoFdkgRoSYdM6W04Dk
brothersgreenuk.com,https://brothersgreenuk.com/,Brothers Green Vintage,Herne Hill,curated_object,fashion,"4 Half Moon Ln, London",SE24 9HU,ChIJMbFoacQFdkgReKzUs9DYqSE
claphambooks.com,https://www.claphambooks.com/herne-hill,Herne Hill Books,Herne Hill,curated_object,books,"289 Railton Rd, London",SE24 0LY,ChIJCSCpJnMEdkgRLDbrqeB3B5I
larklondon.com,https://www.larklondon.com/,Lark Herne Hill,Herne Hill,curated_object,fashion,"317 Railton Rd, London",SE24 0JN,ChIJhVH6cd4FdkgRyia2Nx3pbsI
papercatbookshop.co.uk,https://www.papercatbookshop.co.uk/,The Paper Cat Children's Bookshop,Herne Hill,curated_object,books,"25 Half Moon Ln, London",SE24 9JU,ChIJudsopR4FdkgRxoV1IRkEb4I
wildandlees.com,http://www.wildandlees.com/,Wild + Lees,Herne Hill,curated_object,wine,"2 Half Moon Ln, London",SE24 9HU,ChIJD-64OXMEdkgRC456qxynh8Q
aitch.london,https://www.aitch.london/,Aitch SE24,Herne Hill,empty_chair,empty_chair,"22 Half Moon Ln, London",SE24 9HU,ChIJA0IJWnMEdkgRtB_5QdATCxE
clepsydra-barbers.ueniweb.com,https://clepsydra-barbers.ueniweb.com/,Clepsydra Barbers,Herne Hill,empty_chair,empty_chair,"2A Half Moon Ln, London",SE24 9HU,ChIJ4yeI4cYFdkgRMC2EyE2ao5E
fringehernehill.com,http://www.fringehernehill.com/,Fringe Hair Salon,Herne Hill,empty_chair,empty_chair,"19 Half Moon Ln, London",SE24 9JU,ChIJjxarXXMEdkgRQZJytZyKsJQ
mylaanddavis.co.uk,http://www.mylaanddavis.co.uk/,Myla and Davis,Herne Hill,empty_chair,empty_chair,"204 Railton Rd, London",SE24 0JT,ChIJ4-Kb4HIEdkgRlsYvoiVos_I
ourlittlesecrethernehill.com,https://www.ourlittlesecrethernehill.com/,Our Little Secret,Herne Hill,empty_chair,empty_chair,"118 Railton Rd, London",SE24 0JX,ChIJQ1qrenIEdkgRGZoO2UvVbus
arapina.co.uk,https://arapina.co.uk/,Arapina Bakery - Herne Hill Market,Herne Hill,end_of_day_food,end_of_day_food,"Railton Rd, London",SE24 0JN,ChIJd7P8cu0FdkgRkwZisQatl6M
blackbirdbakerylondon.co.uk,http://www.blackbirdbakerylondon.co.uk/,Blackbird Bakery Herne Hill,Herne Hill,end_of_day_food,end_of_day_food,"230 Railton Rd, London",SE24 0JT,ChIJLY9E3nIEdkgRraPhyUlJPsc
christophers-bakery.com,https://www.christophers-bakery.com/,Christopher's,Herne Hill,end_of_day_food,end_of_day_food,"145 Half Moon Ln, London",SE24 9JY,ChIJYcwwmIoDdkgRCC4HcIPpeYM
gailsbread.co.uk,https://gailsbread.co.uk/bakeries/herne-hill/,GAIL's Bakery Herne Hill,Herne Hill,end_of_day_food,end_of_day_food,"214-216 Railton Rd, London",SE24 0JT,ChIJSZfqN_UFdkgRNz00tMa0JX8
kaihungonline.co.uk,http://www.kaihungonline.co.uk/,Kai Hung,Herne Hill,end_of_day_food,end_of_day_food,"88 Railton Rd, London",SE24 0LD,ChIJTVXxdm4EdkgR4ppvLr9O4Ks
koalacoffee.co.uk,http://www.koalacoffee.co.uk/,Koala Coffee & Ice Cream,Herne Hill,end_of_day_food,end_of_day_food,"64 Railton Rd, London",SE24 0LF,ChIJMQkh54IFdkgRtCH3P3FQxBQ
llewelyns-restaurant.co.uk,https://www.llewelyns-restaurant.co.uk/,Llewelyn's,Herne Hill,end_of_day_food,end_of_day_food,"293-295 Railton Rd, London",SE24 0JP,ChIJ35SN4HIEdkgR2J0HhGI6RMo
macatia.co.uk,http://www.macatia.co.uk/,Macatia and Coffee,Herne Hill,end_of_day_food,end_of_day_food,"1A Half Moon Ln, London",SE24 9JU,ChIJOaTXQzYFdkgRoxXKaqVQCH8
minopotterypainting.co.uk,https://www.minopotterypainting.co.uk/,Mino Pottery Painting & Cafe,Herne Hill,end_of_day_food,end_of_day_food,"16 Half Moon Ln, London",SE24 9HU,ChIJf0U5FqEFdkgRewELzcV1YJQ
perksandwhite.com,http://www.perksandwhite.com/,"Perks & White coffee, Herne Hill Station",Herne Hill,end_of_day_food,end_of_day_food,"Station Ticket Hall, Herne Hill, Railton Rd, London",SE24 0JW,ChIJYZdOSd8FdkgRhaN1Xb1louI
perksandwhite.com,https://www.perksandwhite.com/,"Perks & White coffee, Ticket Hall - Herne Hill Station",Herne Hill,end_of_day_food,end_of_day_food,"Ticket Hall, Herne Hill Station, Railton Rd, London",SE24 0JW,ChIJS1N1x8UFdkgRxrB-JT2ocws
sesami.co.uk,http://www.sesami.co.uk/,Sesami,Herne Hill,end_of_day_food,end_of_day_food,"307 Railton Rd, London",SE24 0JN,ChIJ1WQWdlgFdkgRfzf9HS19rsw
west16th.co.uk,https://www.west16th.co.uk/,West 16th,Herne Hill,end_of_day_food,end_of_day_food,"137 Half Moon Ln, London",SE24 9JY,ChIJcS9s55YDdkgRF89wWceXOvY
soloist.ai,https://soloist.ai/ablerebirthrecords,ABLE REBIRTH RECORDS,Brixton Village,curated_object,books,"0 1, Green Man Court, 229 Coldharbour Ln, London",SW9 8RR,ChIJ51yHpd8FdkgRL59IKZvwtoY
lef-beautifulbooks.co.uk,http://lef-beautifulbooks.co.uk/,Beautiful Books,Brixton Village,curated_object,books,"24 Brixton Station Rd, London",SW9 8PD,ChIJq6qqqmcEdkgR2tfsTEIov5I
bookmongers.com,https://bookmongers.com/,BookMongers,Brixton Village,curated_object,books,"439 Coldharbour Ln, London",SW9 8LN,ChIJ1fPOjmgEdkgRRYpRE3705TM
bottleandrye.com,http://www.bottleandrye.com/,Bottle + Rye,Brixton Village,curated_object,wine,"Ground Floor, 404-406 Market Row, London",SW9 8LD,ChIJ30NQAHAFdkgRyEiuSYFeISI
diversegifts.co.uk,http://www.diversegifts.co.uk/,Diverse,Brixton Village,curated_object,fashion,"390 Coldharbour Ln, London",SW9 8LF,ChIJEe-5Sm8EdkgR9ze50_3dJ7I
fullmoondesigns.co.uk,http://fullmoondesigns.co.uk/,Full Moon Designs,Brixton Village,curated_object,fashion,"8, Brixton Village, First Avenue, London",SW9 8PR,ChIJZcf8qGgEdkgRriN3xuKHP08
ghostwhalelondon.com,http://www.ghostwhalelondon.com/,Ghost Whale,Brixton Village,curated_object,wine,"70 Atlantic Rd, London",SW9 8PX,ChIJ09CeNW8EdkgR5JUbLsXdylg
lalunelondon.com,http://lalunelondon.com/,Lalune London,Brixton Village,curated_object,fashion,"Lalune, 24 Market Row, London",SW9 8LB,ChIJy6FSmoup2EcRUYrFLM0dels
rachelandmalikas.com,http://www.rachelandmalikas.com/,Rachel & Malika's,Brixton Village,curated_object,fashion,"Granville Arcade, Coldharbour Ln, London",SW9 8PR,ChIJxy6Lq2gEdkgRLu6IXLr7KNc
roundtablebooks.co.uk,http://roundtablebooks.co.uk/,Round Table Books,Brixton Village,curated_object,books,"Brixton Village, 10-11 Granville Arcade, Coldharbour Ln, London",SW9 8PR,ChIJjYfNROgFdkgRU8pS_rm186U
403barberlane.com,https://www.403barberlane.com/,403 Barber Lane Brixton,Brixton Village,empty_chair,empty_chair,"403 Coldharbour Ln, London",SW9 8LQ,ChIJA6MWGOwFdkgRPada2ERm6d4
amathesalon.com,http://www.amathesalon.com/,Ama (Brixton),Brixton Village,empty_chair,empty_chair,"Gresham Cafe, 340 Coldharbour Ln, London",SW9 8QH,ChIJj3ETAi0FdkgR4_tnqN1JaOw
andre-pierre.com,http://www.andre-pierre.com/,André Pierre,Brixton Village,empty_chair,empty_chair,"393 Coldharbour Ln, London",SW9 8LQ,ChIJ9xwiu2gEdkgRKelxv5x0DO8
sites.google.com,https://sites.google.com/view/astellebeautypalace/,Astelle Beauty Palace,Brixton Village,empty_chair,empty_chair,"16 Brixton Station Rd, London",SW9 7PD,ChIJH39u4HQFdkgReb7z_znX-rA
beautybypatti.book.app,https://beautybypatti.book.app/book-now,Beauty by Patti,Brixton Village,empty_chair,empty_chair,"Within Mazel Beauty, 86 Atlantic Rd, London",SW9 8PX,ChIJvwxygLoFdkgR2Pc6i-wiKMs
bluetitlondon.com,https://bluetitlondon.com/salons/brixton/,Blue Tit Brixton,Brixton Village,empty_chair,empty_chair,"342 Coldharbour Ln, London",SW9 8QH,ChIJ_9Dlg2UEdkgRl2VSekvtDn4
curfewgrooming.co,http://www.curfewgrooming.co/,Curfew Grooming Brixton,Brixton Village,empty_chair,empty_chair,"40 Atlantic Rd, London",SW9 8JW,ChIJDQTTEmYEdkgRu8woArGGCBM
elevatehairdressing.co.uk,https://www.elevatehairdressing.co.uk/,Elevate,Brixton Village,empty_chair,empty_chair,"The Metropolis, 61 Atlantic Rd, London",SW9 8PU,ChIJ2Y1nS28EdkgR7Ww8jkRNErM
booksolo.co,https://booksolo.co/facialquarters,FACIAL QUARTERS,Brixton Village,empty_chair,empty_chair,"Within Andre Pierre, 393 Coldharbour Ln, London",SW9 8LQ,ChIJ911y90AFdkgRgNzMzdmQBEs
gentsofbrixtonbarber.com,http://gentsofbrixtonbarber.com/,Gents of Brixton Barbers,Brixton Village,empty_chair,empty_chair,"415 Coldharbour Ln, London",SW9 8LH,ChIJ9WYeq_MFdkgR2N4v8t1BePw
headshighbrixton.co.uk,http://www.headshighbrixton.co.uk/,Heads High Brixton,Brixton Village,empty_chair,empty_chair,"54 Atlantic Rd, London",SW9 8PZ,ChIJmx0oaMUFdkgRGHR2tScw5B8
mylaanddavis.co.uk,http://www.mylaanddavis.co.uk/,Myla and Davis,Brixton Village,empty_chair,empty_chair,"431-433 Coldharbour Ln, London",SW9 8LN,ChIJyy2elmgEdkgR1y7UXxWx_J4
nailspabrixton.co.uk,http://nailspabrixton.co.uk/,Nail Spa,Brixton Village,empty_chair,empty_chair,"417 Coldharbour Ln, London",SW9 8LF,ChIJp8cll2gEdkgR0Cbfg7_u3yQ
