cluster,mechanic,track,name,email,email_alt,phone,website,instagram,facebook,whatsapp,address,postcode,street,type,note,placeId,google_maps
Crystal Palace,curated_object,books,Bookseller Crow On The Hill,jonathan@booksellercrow.co.uk,scribblingcrow@hotmail.com,+44 20 8771 8831,http://www.booksellercrow.co.uk/,https://instagram.com/booksellercrow,https://www.facebook.com/booksellercrow,,"50 Westow St, London",SE19 3AF,Westow St,Book store,,ChIJs_lkhU8BdkgRf-DOG4mUR_w,https://maps.google.com/?cid=18178661737502269567&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,flowers,Crystal Palace Flowers,info@crystalpalaceflowers.co.uk,,+44 7930 348028,https://www.crystalpalaceflowers.co.uk/,,https://www.facebook.com/1907959006144596,https://wa.me/447930348028,"The Alma, 95 Church Rd, London",SE19 2TA,Church Rd,Florist,,ChIJb2wkuukBdkgRYJuhCjroe5U,https://maps.google.com/?cid=10771458269770783584&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,fashion,D Solos,dsoloclothing@hotmail.com,,+44 20 8653 7585,http://www.dsoloclothing.co.uk/,https://www.instagram.com/dsolos,,,"23 Church Rd, London",SE19 2TE,Church Rd,Clothing store,,ChIJ4anSDkUBdkgR4Ct0OF52BXE,https://maps.google.com/?cid=8144045648215550944&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,fashion,Pearl rose Jewellers,pearlrosejewellers@gmail.com,,+44 7904 563807,http://pearlrosejewellers.co.uk/,,,https://wa.me/447904563807,"76 Church Rd, London",SE19 2EZ,Church Rd,Jewelry store,,ChIJ7UYvnEUBdkgR8B5h-k4zdvw,https://maps.google.com/?cid=18191784159110831856&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,wine,The Sourcing Table,hello@thesourcingtable.com,peckham@thesourcingtable.com,+44 20 3551 1005,https://thesourcingtable.com/,http://instagram.com/thesourcingtable,,,"67 Westow Hill, London",SE19 1TS,Westow Hill,Wine bar,,ChIJK6gFMEUBdkgRhEH4-iLXSoE,https://maps.google.com/?cid=9316495324408725892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,fashion,Tine Bladbjerg,tinedesign@gmail.com,,+44 20 8761 1868,http://tinebladbjerg.com/,,,,"A L'Etage, 4 Westow Hill, London",SE19 1RX,Westow Hill,Jewelry store,,ChIJq6q7708BdkgR6LHWiWyfUMo,https://maps.google.com/?cid=14578327282316128744&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,curated_object,wine,Urban Cellar,info@urbancellar.co.uk,stephtabb@hotmail.co.uk,+44 20 3417 8900,https://urbancellar.co.uk/,https://www.instagram.com/urban_cellar_crystal_palace_,https://www.facebook.com/Urban-Cellar-2130096930536816,,"48 Church Rd, London",SE19 2ET,Church Rd,Liquor store,,ChIJlTtoqUARdkgRFZWvG3BZUtc,https://maps.google.com/?cid=15515562004280481045&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Blue Tit Crystal Palace,steve@bluetitlondon.com,,+44 20 3474 5288,https://bluetitlondon.com/salons/crystal-palace/,https://www.instagram.com/bluetitlondon,https://www.facebook.com/bluetitlondon,,"1 Westow Hill, London",SE19 1TQ,Westow Hill,Hair salon,,ChIJ23_PNn8BdkgRbTn09RWxJ1E,https://maps.google.com/?cid=5847837349042731373&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Celine Nails,thuyanh732018@gmail.com,,+44 20 7998 8450,https://www.celinenailscrystalpalace.co.uk/,,,,"Abode London Ltd, 82 Westow Hill, London",SE19 1SB,Westow Hill,Nail salon,,ChIJ8WworPoBdkgRp4kPbwbh-i0,https://maps.google.com/?cid=3313207893633763751&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Crystal Palace,empty_chair,empty_chair,Elysia Wellness,admin@elysiawellness4me.com,,+44 20 3916 6787,https://elysiawellness4me.com/,,,,"Foresters hall, 25-27 Westow St, London",SE19 3RY,Westow St,Massage service,,ChIJXS9A1IYBdkgRxGDVUTWsm80,https://maps.google.com/?cid=14815624744171561156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
