priority,track,email_variant,score,borough,name,type,category,address,postcode,district,phone,website,rating,reviews,placeId,googleMapsUri,why,email
A,books,commercial,54,Lambeth,Sound Vinyl,Store,Books & Music,"42 Church Rd, London",SE19 2EZ,SE19,+44 7984 272851,https://www.instagram.com/sound.vinyl/,4.9,69,ChIJvb1jly4BdkgR1c3ckPZCtwQ,https://maps.google.com/?cid=339813923649539541&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,record / vinyl shop,
A,charity,charity,50,Lambeth,Emmaus Second Hand Furniture Shop,Furniture store,Home & Living,"Bobby Vincent House, 4 Beadman St, London",SE27 0DN,SE27,+44 300 123 2001,https://emmaus.org.uk/slc/shop/second-hand-furniture-superstore/,4.6,46,ChIJZUkU49IFdkgRQZcTJgJp_MI,https://maps.google.com/?cid=14050220395438774081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,curated charity shop,
A,wine,commercial,50,Lambeth,Ghost Whale,Liquor store,Art & Culture,"70 Atlantic Rd, London",SW9 8PX,SW9,+44 20 7207 1641,http://www.ghostwhalelondon.com/,4.8,454,ChIJ09CeNW8EdkgR5JUbLsXdylg,https://maps.google.com/?cid=6398170059585066468&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent wine / bottle shop,
A,wine,commercial,50,Lambeth,The Wine Tasting Shop,Wine bar,Books & Music,"18 Hildreth St, London",SW12 9RQ,SW12,+44 20 8616 8658,http://www.thewinetastingshop.co.uk/,4.7,154,ChIJL_8Jc88FdkgRSWULdbeDnRY,https://maps.google.com/?cid=1629603464143922505&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,independent wine / bottle shop,
A,books,commercial,48,Lambeth,ABLE REBIRTH RECORDS,Manufacturer,Books & Music,"0 1, Green Man Court, 229 Coldharbour Ln, London",SW9 8RR,SW9,+44 7950 756461,https://soloist.ai/ablerebirthrecords,5,4,ChIJ51yHpd8FdkgRL59IKZvwtoY,https://maps.google.com/?cid=9707210596046905135&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,record / vinyl shop,
A,books,commercial,48,Lambeth,Backstory,Book store,Home & Living,"71 Balham High Rd, London",SW12 9AP,SW12,+44 20 3302 0460,http://backstory.london/,5,192,ChIJHcmjKfkFdkgRjfrlPmbq6Uk,https://maps.google.com/?cid=5326045759205145229&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,books,commercial,48,Lambeth,BookMongers,Book store,Books & Music,"439 Coldharbour Ln, London",SW9 8LN,SW9,+44 20 7738 4225,https://bookmongers.com/,4.8,451,ChIJ1fPOjmgEdkgRRYpRE3705TM,https://maps.google.com/?cid=3739663887928232517&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,bookshop,
A,fashion,commercial,48,Lambeth,Cenci vintage clothing & accessories,Clothing store,Fashion & Apparel,"4 Nettlefold Pl, London",SE27 0JW,SE27,+44 20 8766 8564,http://www.cenci.co.uk/,4.3,75,ChIJCWcixAIEdkgRNWHZv6bU9x0,https://maps.google.com/?cid=2159428358995796277&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,vintage / boutique,
A,flowers,commercial,48,Lambeth,Denises Flowers,Florist,Home & Living,"168 Great Suffolk St, London",SE1 1PE,SE1,+44 20 7403 0067,http://www.denisesflower.co.uk/,4.6,247,ChIJI1Fz6qYEdkgRUiVg1C8Z-ro,https://maps.google.com/?cid=13473108928449488210&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
A,flowers,commercial,48,Lambeth,Floral Hall,Florist,Home & Living,"370-372 Norwood Rd, London",SE27 9AA,SE27,+44 20 8670 3200,http://www.floralhall.co.uk/,4.8,173,ChIJ_3ilGAMEdkgRvD_M-P89q4I,https://maps.google.com/?cid=9415687615548243900&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,florist,
