street,street_key,already_contacted,is_chain,has_website,enrich,kind,name,type,category,address,postcode,phone,website,rating,reviews,placeId,googleMapsUri,lat,lng,borough,email
Clapham High Street,clapham_high_street,no,yes,yes,yes,shop,Evans Cycles,Bicycle store,Sports & Outdoor,"Unit 2, Brixton, 65 Clapham High St, London",SW4 7UL,+44 343 909 2081,https://www.evanscycles.com/clapham-ev-store-2081,3.4,489,ChIJ2UclxFEEdkgRKrqXu_4YO_Y,https://maps.google.com/?cid=17742802639304243754&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.463315099999996,-0.1331459,Lambeth,
Clapham High Street,clapham_high_street,no,no,no,no,shop,Q For Hair,Barber shop,Beauty & Wellness,"3 Clapham High St, London",SW4 7TS,+44 20 7627 2306,,4.7,98,ChIJUdbgh1AEdkgRz2pXJPkRnbs,https://maps.google.com/?cid=13518981418190334671&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4650685,-0.12966909999999998,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,SW4 BARBERS,Barber shop,Beauty & Wellness,"6 Clapham High St, London",SW4 7UT,+44 20 8127 6280,https://sw4barbers.co.uk/,4.9,153,ChIJWW4-MIAFdkgROGJ8ofUntTg,https://maps.google.com/?cid=4086216172838347320&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.465095500000004,-0.13018939999999998,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Tropix,Cocktail bar,Food & Drink,"Royal Oak, 10 Clapham High St, London",SW4 7UT,+44 7914 687983,https://tropixlondon.com/,4.2,1582,ChIJlcLPUukFdkgRDpTFJXxzQrY,https://maps.google.com/?cid=13133186440412632078&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4650095,-0.1304699,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Nails First,Nail salon,Beauty & Wellness,"Hansford Building 11a, Unit 1 Bedford Rd, Clapham High St, London",SW4 7SH,+44 20 3759 7093,https://widget.treatwell.co.uk/place/nails-first-1/,4.8,45,ChIJY4DkNvoFdkgRDYSjq4898qM,https://maps.google.com/?cid=11813572459815470093&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.464894799999996,-0.1291689,Lambeth,
Clapham High Street,clapham_high_street,no,no,no,no,shop,Cafe House London,Cafe,Food & Drink,"19A Clapham High St, London",SW4 7TS,+44 20 3620 4653,,4.4,116,ChIJkU-AwlgEdkgROiIYspid5Oc,https://maps.google.com/?cid=16709653796599898682&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4647507,-0.1302337,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,So Me Beauty & Wellness (Clapham North),Beauty salon,Beauty & Wellness,"21 Clapham High St, London",SW4 7TR,+44 20 7720 3330,http://so.me/,4.8,545,ChIJ6wxjQ1AEdkgRMfIMZi6a_4g,https://maps.google.com/?cid=9871778432290714161&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4645077,-0.13067779999999998,Lambeth,
Clapham High Street,clapham_high_street,no,no,no,no,shop,Clapham Homecare,Home goods store,Home & Living,"23-25 Clapham High St, London",SW4 7UT,,,3.5,6,ChIJJ60tXlAEdkgRgw-LHC8eaQA,https://maps.google.com/?cid=29588060245790595&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4644475,-0.1307788,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Leyland SDM Clapham High Street | Decorating & DIY,Home goods store,Fashion & Apparel,"Apex Cycles, 24-28 Clapham High St, London",SW4 7UR,+44 20 7819 9387,https://leylandsdm.co.uk/amlocator/clapham-high-street/?utm_source=google&utm_medium=organic&utm_campaign=LPM_google_Clapham,4.6,197,ChIJcZHxUVAEdkgR-72sMI6nj70,https://maps.google.com/?cid=13659320423981825531&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.464417999999995,-0.1315,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Star Sports,sporting_goods_store,Sports & Outdoor,"34 Clapham High St, London",SW4 7UT,,https://www.starsportsbet.co.uk/,3.7,3,ChIJzcMWTVAEdkgRQJMJaj7ztwA,https://maps.google.com/?cid=51777370130584384&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4643867,-0.1315325,Lambeth,
Clapham High Street,clapham_high_street,yes,no,yes,no,shop,Save The Children,Thrift store,Fashion & Apparel,"Bowyer House, 36 Clapham High St, London",SW4 7UR,+44 20 7978 2542,https://www.savethechildren.org.uk/,3.9,34,ChIJKXApTVAEdkgR-RqE9zuzw_4,https://maps.google.com/?cid=18357713576229346041&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4642237,-0.1318819,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,SimpleBooks,Consultant,Books & Music,"Ste 47, 101 Clapham High St, London",SW4 7TB,+44 333 577 0035,http://www.simplebook.co.uk/,5,2,ChIJ158YzU0bdkgRwsmBUjr4g-M,https://maps.google.com/?cid=16394219997934766530&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4629921,-0.1343556,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Sajna Beauty,Beauty salon,Beauty & Wellness,"48a Clapham High Street or, 2 Edgeley Rd, London",SW4 7UR,+44 20 7501 0001,http://www.sajna.co.uk/,4.1,218,ChIJH3ZorVEEdkgRfCGU1oOcw3Q,https://maps.google.com/?cid=8413740618912899452&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4640943,-0.1323684,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,The Socialist Party,Book store,Home & Living,"Hill House, 52 Clapham High St, London",SW4 7UN,,https://www.worldsocialism.org/spgb/,4.6,11,ChIJ63JiuVEEdkgReNRNI3lLZcQ,https://maps.google.com/?cid=14151800387737080952&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.463891999999994,-0.1327139,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Café Sol London – Mexican Restaurant & Cocktail Bar,Cocktail bar,Food & Drink,"Hill House, 56 Clapham High St, London",SW4 7UL,+44 20 7498 8558,http://www.cafesol.com/,3.8,852,ChIJBYvxuFEEdkgRCUPh2EVZde0,https://maps.google.com/?cid=17110680515790324489&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4638942,-0.1328001,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,no,not_a_shop,Rogue Bachata - Clapham,Sports school,Services & Experiences,"Café Sol, The Library Building, 56 Clapham High St, London",SW4 7UL,+44 7596 031416,https://roguebachata.com/,5,1,ChIJu09VaI0FdkgR3-XeJZcuYBc,https://maps.google.com/?cid=1684397487346869727&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4631908,-0.13354449999999998,Lambeth,
Clapham High Street,clapham_high_street,no,no,no,no,not_a_shop,Salsa Dance Classes in Clapham,Sports school,Services & Experiences,"Hill House, 56 Clapham High St, London",SW4 7UL,+44 7916 309923,,,,ChIJq6ofuVEEdkgRuyyRE7uwl9Q,https://maps.google.com/?cid=15318906975057685691&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4638942,-0.1328001,Lambeth,
Clapham High Street,clapham_high_street,no,no,no,no,shop,Express Food & Wine,Convenience store,Tech & Gadgets,"60 Clapham High St, London",SW4 7UL,+44 20 7498 2888,,3.9,17,ChIJfbe5uFEEdkgRbdJYccPFXLg,https://maps.google.com/?cid=13284710444047061613&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4638457,-0.132906,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,La Rueda Italian Social House,Italian restaurant,Food & Drink,"66 Clapham High St, London",SW4 7UL,+44 20 7627 2173,https://www.laruedaclapham.co.uk/,4.1,953,ChIJV_qOwFEEdkgRRmVkaeLFxDc,https://maps.google.com/?cid=4018554343742793030&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4637366,-0.1331945,Lambeth,
Clapham High Street,clapham_high_street,no,no,no,no,shop,clapham mobile and laptop repairs L.T.D,Services,Tech & Gadgets,"72 Clapham High St, London",SW4 7UL,+44 7909 466765,,4.9,141,ChIJSYEXls8FdkgRbTHgwwn9zio,https://maps.google.com/?cid=3084681013178151277&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.463644099999996,-0.1335459,Lambeth,
Clapham High Street,clapham_high_street,no,no,yes,yes,shop,Soul Lounge,Restaurant,Food & Drink,"76 Clapham High St, London",SW4 7UL,+44 7914 687983,https://www.soulloungeldn.com/,4.3,902,ChIJ8bKMDxYFdkgR-cbluWZDN90,https://maps.google.com/?cid=15940283514585728761&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.463628,-0.1334465,Lambeth,
Clapham High Street,clapham_high_street,no,no,no,no,shop,"Caplaneris Key Cutting, Watch Repair Workshop, Engraving & Quality Shoe Repair",Locksmith,Fashion & Apparel,"78C Clapham High St, London",SW4 7UL,+44 7743 025989,,4.7,107,ChIJybyZS80FdkgRVTyueekeqfM,https://maps.google.com/?cid=17557598610398264405&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.463644099999996,-0.1335459,Lambeth,
