placeId,name,category,categories,type,address,postcode,district,corridor,city,phone,website,instagram,facebook,email,googleMapsUri,lat,lng,rating,reviews,businessStatus,borough
"ChIJdQKvO1Az30cReJ2kSwhjcfw","Beta Fine Art","Art & Culture","Art & Culture","Art gallery","Unit 1b, Hillgate Place, 18-20 Hillgate Pl, London","SW12 9ER","SW12","Balham","London","+44 20 8145 6781","http://www.betafineart.com/","","","","https://maps.google.com/?cid=18190429257206111608&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.4504837","-0.14852079999999998","5","12","OPERATIONAL","Wandsworth"
"ChIJvWrlHbYFdkgRurY9VAh8nrA","Landon Design - London Art Gallery Events Paintings & Mirrors","Art & Culture","Art & Culture","Event venue","Grand Parade, 37 Balham Hill, London","SW12 9DX","SW12","Balham","London","+44 7763 056820","https://www.landondesign.co.uk/","","","","https://maps.google.com/?cid=12726745972210513594&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.4519143","-0.147567","4.3","68","OPERATIONAL","Wandsworth"
"ChIJ9aBAO88FdkgRMcYElw7meyU","Mimi V Artworks","Art & Culture","Art & Culture","Store","81 Balham High Rd, London","SW12 9AP","SW12","Balham","London","+44 7506 069300","http://www.mimivartworks.com/","","","","https://maps.google.com/?cid=2701005351876347441&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.4457034","-0.1502355","4.7","58","OPERATIONAL","Wandsworth"
"ChIJ_e2eAcIFdkgR94BDHa0kF38","Platform 1 Gallery","Art & Culture","Art & Culture","Art gallery","Jaggard Way, Platform1, Wandsworth Common Station, London","SW12 8SG","SW12","Balham","London","+44 7950 773779","http://www.platform1gallery.com/","","","","https://maps.google.com/?cid=9157828693220098295&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.446443800000004","-0.16366419999999998","4","4","OPERATIONAL","Wandsworth"
"ChIJlw71VXUFdkgRgNL2Vwps1gY","Art Movement Gallery","Art & Culture","Art & Culture","Art gallery","163A St John's Hl, London","SW11 1TQ","SW11","Battersea","London","+44 7973 692494","http://www.art-movement.com/","","","","https://maps.google.com/?cid=492700000924914304&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.4601356","-0.1770974","5","9","OPERATIONAL","Wandsworth"
"ChIJPzZkBqMFdkgRUSjanwPITYw","Battersea Arts Centre","Art & Culture","Art & Culture","Performing arts theater","Lavender Hill, London","SW11 5TN","SW11","Battersea","London","+44 20 7223 2223","http://www.bac.org.uk/","","","","https://maps.google.com/?cid=10109956656408963153&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.4648502","-0.16069529999999999","4.6","1526","OPERATIONAL","Wandsworth"
"ChIJN6lSdUEFdkgRuKBz3wEnZYE","Clarendon Fine Art","Art & Culture","Art & Culture","Art gallery","Floor, Turbine Hall, Upper Ground, A The Power Station, The Power Station, London","SW11 8BZ","SW11","Battersea","London","+44 20 3745 8370","https://www.clarendonfineart.com/galleries/battersea-power-station/","","","","https://maps.google.com/?cid=9323901492537827512&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.48167","-0.1456514","4.8","30","OPERATIONAL","Wandsworth"
"ChIJhTwNgN0FdkgRI4lY5q9qFzQ","Clarendon Fine Art Battersea","Art & Culture","Art & Culture","Art gallery","50 Northcote Rd, London","SW11 1PA","SW11","Battersea","London","+44 20 3475 5204","https://clarendonfineart.com/collections/battersea?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=battersea","","","","https://maps.google.com/?cid=3753586118152980771&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.458971399999996","-0.1664774","5","16","OPERATIONAL","Wandsworth"
"ChIJe50ItXcFdkgRcq6NX6whOiQ","Cooke Latham Gallery","Art & Culture","Art & Culture","Art gallery","41 Parkgate Rd, London","SW11 4NP","SW11","Battersea","London","","http://www.cookelathamgallery.com/","","","","https://maps.google.com/?cid=2610435958235836018&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.4791087","-0.1674101","5","4","OPERATIONAL","Wandsworth"
"ChIJf-bG6HMFdkgRTDR4s9O0XTE","JGM Gallery","Art & Culture","Art & Culture","Art gallery","24 Howie St, London","SW11 4AY","SW11","Battersea","London","+44 20 7228 6027","http://www.jgmgallery.com/","","","","https://maps.google.com/?cid=3557198102034658380&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.4792026","-0.169324","4.6","12","OPERATIONAL","Wandsworth"
